,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,gender,capital.gain,capital.loss,hours.per.week,native.country,income,Prediction,Pred. Prob.,CI Low,CI High
4808,27,Private,111900,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,<=50K,0.7927306863658954,0.7501070770477243,0.8353542956840665
11013,32,Private,192565,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.6424038375468669,0.603870057066215,0.6809376180275188
21630,42,Private,68729,Some-college,10,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K,<=50K,0.7885173963858491,0.7473799726823009,0.8296548200893972
27835,23,Private,199452,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,<=50K,0.9259044843947188,0.8992775696123486,0.9525313991770891
23096,24,Private,174138,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5815341317657479,0.5460715277662245,0.6169967357652713
28977,69,Private,76939,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,<=50K,0.8002572913770717,0.7610121817121409,0.8395024010420025
25766,31,Private,310773,Some-college,10,Separated,Sales,Unmarried,White,Female,0,0,40,Mexico,<=50K,<=50K,0.832241251165285,0.7936419270360769,0.8708405752944931
31172,48,Private,49278,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,<=50K,0.7969255800516742,0.7571822202745283,0.8366689398288202
1132,35,Private,54317,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1672,50,United-States,<=50K,<=50K,0.5482260661777884,0.5114848046510726,0.5849673277045041
7155,46,Self-emp-not-inc,57452,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.5409647099706131,0.507630099123914,0.5742993208173122
23718,20,Private,219262,9th,5,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K,<=50K,0.7885013273644655,0.7444551852378533,0.8325474694910778
3403,36,Private,267556,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,4064,0,40,United-States,<=50K,<=50K,0.5313270159458832,0.48993757049194453,0.5727164613998218
17869,28,Private,219267,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,28,United-States,<=50K,<=50K,0.9197579618892076,0.8919633751343106,0.9475525486441045
7123,45,Private,125194,11th,7,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United-States,<=50K,<=50K,0.8491542590259953,0.8117858785640357,0.8865226394879548
26959,46,Private,63299,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,50,United-States,<=50K,<=50K,0.6198841361669692,0.58781388594334,0.6519543863905984
5769,45,Private,166107,Masters,14,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,<=50K,0.723341030083636,0.6869318331167107,0.7597502270505614
20451,62,Private,24515,9th,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5288529872690902,0.4978073884800367,0.5598985860581438
28169,26,Private,222248,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,70,United-States,<=50K,<=50K,0.7995005048478276,0.7558450541214917,0.8431559555741636
28004,52,Private,89054,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5904829798139094,0.5550847610262087,0.6258811986016101
32394,59,Private,395736,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.5765639768993696,0.5394397453452563,0.6136882084534828
15890,29,Private,104256,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,34,United-States,<=50K,<=50K,0.8649045100189672,0.8258629986020488,0.9039460214358855
3345,38,Private,160808,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,4386,0,48,United-States,<=50K,<=50K,0.4865577545604974,0.4473891180286001,0.5257263910923946
20938,27,Private,130438,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,<=50K,0.8578260111347538,0.8180823314882955,0.8975696907812121
7710,19,,35507,Some-college,10,Never-married,,Own-child,White,Female,0,0,45,United-States,<=50K,<=50K,0.8795605758151248,0.846482994794109,0.9126381568361406
28745,36,Private,164898,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5217323656433037,0.4863078871548729,0.5571568441317345
30389,20,Private,190273,12th,8,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,<=50K,<=50K,0.8758272053826439,0.839259015020754,0.9123953957445339
25509,31,Private,403468,Some-college,10,Separated,Other-service,Unmarried,White,Female,0,0,50,Mexico,<=50K,<=50K,0.8538668405492835,0.8202986799801203,0.8874350011184468
16429,20,Private,263612,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,Haiti,<=50K,<=50K,0.8741586937095395,0.8398990248421672,0.9084183625769118
1244,19,,218471,HS-grad,9,Never-married,,Own-child,White,Female,0,1602,30,United-States,<=50K,<=50K,0.8902774177696798,0.860024970911275,0.9205298646280846
13442,44,State-gov,180609,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.573219563332956,0.5388256400837904,0.6076134865821216
29687,28,Private,303440,Bachelors,13,Separated,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States,>50K,<=50K,0.7233002625322952,0.6894204561852455,0.7571800688793449
3682,35,Self-emp-not-inc,181705,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3103,0,40,United-States,>50K,<=50K,0.5701870215397074,0.5306780072977083,0.6096960357817064
18826,26,Local-gov,80485,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,38,United-States,<=50K,<=50K,0.8011374114794956,0.7595190548079157,0.8427557681510754
12943,30,Private,496414,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,,<=50K,<=50K,0.5876178144012912,0.5547222914734335,0.6205133373291489
2566,57,Private,61474,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,45,United-States,>50K,>50K,0.6533691294263094,0.6219463111971697,0.6847919476554492
32154,55,Private,118993,Some-college,10,Separated,Exec-managerial,Unmarried,White,Female,0,0,10,United-States,<=50K,<=50K,0.8426509957658187,0.8099377057558657,0.8753642857757717
13084,27,Private,127833,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K,<=50K,0.8821757545342491,0.8466228687274636,0.9177286403410346
9705,50,Local-gov,138358,Some-college,10,Separated,Other-service,Unmarried,Black,Female,0,0,28,United-States,<=50K,<=50K,0.8620253939804868,0.8262359289833491,0.8978148589776246
9932,49,Private,144844,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,52,United-States,>50K,<=50K,0.5562233886409138,0.5216475344768744,0.5907992428049532
24334,20,,86318,Some-college,10,Never-married,,Own-child,White,Female,0,0,10,United-States,<=50K,<=50K,0.9130612439629842,0.8856903520207094,0.9404321359052589
27302,45,Private,101320,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,<=50K,<=50K,0.8535307137129392,0.8176995775144839,0.8893618499113946
10162,33,Private,376483,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K,<=50K,0.8132587487469226,0.7733537540029289,0.8531637434909163
10077,21,,152328,Some-college,10,Never-married,,Own-child,White,Male,0,0,20,United-States,<=50K,<=50K,0.8963299769429542,0.8638658088344836,0.9287941450514249
4495,41,Self-emp-inc,34987,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,54,United-States,>50K,<=50K,0.5675838003358303,0.5350263726045894,0.6001412280670713
14364,29,Private,232784,Assoc-acdm,12,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K,<=50K,0.8061719152829607,0.7666650835800524,0.8456787469858691
6343,25,Private,345121,10th,6,Separated,Other-service,Own-child,White,Female,0,0,25,United-States,<=50K,<=50K,0.8596288732258244,0.8272007883119513,0.8920569581396974
23462,44,Private,33521,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.43293795041659083,0.3996681677657692,0.4662077330674125
25268,35,Self-emp-not-inc,114366,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,>50K,0.57785724341027,0.5507869870094958,0.6049274998110442
6848,60,Private,175273,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,<=50K,<=50K,0.8723500975069294,0.8390130656949266,0.9056871293189321
12712,44,Private,307468,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,29,United-States,>50K,>50K,0.7421633697714644,0.7207900451106026,0.7635366944323261
32159,26,Private,385278,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,60,United-States,<=50K,<=50K,0.5485395257588993,0.5137192614820266,0.583359790035772
32049,25,Private,98155,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K,<=50K,0.8165415830356768,0.7766227667062718,0.8564603993650818
23681,27,Private,52028,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,40,South,<=50K,<=50K,0.4747681475039186,0.45031953825099647,0.49921675675684074
25879,23,Private,447488,9th,5,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,35,Mexico,<=50K,<=50K,0.8608618272183718,0.8248344922263648,0.8968891622103787
220,59,State-gov,303176,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2179,40,United-States,<=50K,>50K,0.6413694497092892,0.6190299397826743,0.6637089596359041
28438,28,Private,114158,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,26,United-States,<=50K,<=50K,0.8885430087379609,0.854924418658191,0.9221615988177307
3047,51,Federal-gov,97934,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,5178,0,40,United-States,>50K,>50K,0.6020627860620038,0.570950862488399,0.6331747096356086
18956,62,Private,199193,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,25,United-States,<=50K,<=50K,0.5900247335126179,0.5510087524623889,0.6290407145628468
10005,52,State-gov,338816,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,70,United-States,>50K,<=50K,0.6209760455797185,0.5842510879552254,0.6577010032042117
18920,35,Private,331831,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,>50K,0.5859827765220902,0.5530357715001775,0.6189297815440029
15495,33,Private,192663,HS-grad,9,Separated,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K,<=50K,0.8511557473242071,0.8118967828749662,0.8904147117734479
23494,20,State-gov,177787,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K,<=50K,0.9069330149686319,0.8777055378341039,0.9361604921031599
19742,55,Private,177380,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,29,United-States,<=50K,<=50K,0.8075715301682839,0.7654777964590136,0.8496652638775541
10693,28,Self-emp-not-inc,240172,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K,<=50K,0.788606864759284,0.7501157924178168,0.8270979371007512
17670,24,Private,211968,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,24,United-States,<=50K,<=50K,0.8919457880545374,0.8569334389688485,0.9269581371402262
21063,72,,76860,HS-grad,9,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0,0,1,United-States,<=50K,<=50K,0.6435321058770925,0.6141713295981248,0.6728928821560602
8249,66,State-gov,41506,10th,6,Divorced,Other-service,Not-in-family,Black,Female,0,0,40,United-States,<=50K,<=50K,0.8562987573977826,0.8235008728957894,0.8890966418997758
6765,47,Private,239439,11th,7,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,40,United-States,<=50K,<=50K,0.6769027336172008,0.6424633899018266,0.7113420773325749
21457,29,Private,46609,10th,6,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,40,,<=50K,<=50K,0.8162142783866396,0.7743864321443071,0.8580421246289721
15327,44,Local-gov,101967,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K,>50K,0.7285947845213502,0.7118721128204906,0.7453174562222098
24061,39,Private,138192,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,>50K,0.5755277795082016,0.5449118901675999,0.6061436688488032
15111,22,Private,554317,9th,5,Married-spouse-absent,Other-service,Other-relative,White,Male,0,0,35,Mexico,<=50K,<=50K,0.830198702904443,0.793971711816102,0.8664256939927839
461,39,Private,80324,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,62,United-States,>50K,>50K,0.6918862194409761,0.6659554416153974,0.7178169972665547
32082,26,Private,192022,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K,<=50K,0.7978520830080637,0.7563667668996348,0.8393373991164925
24237,62,Private,98076,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,>50K,0.695359621117532,0.6693045127463667,0.7214147294886973
5538,59,Self-emp-inc,125000,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,England,>50K,>50K,0.6774701601930118,0.6533082154726817,0.7016321049133418
17664,42,Private,350387,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,15,United-States,<=50K,<=50K,0.8028854915879501,0.7607065486027342,0.8450644345731659
25057,28,Private,132191,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,>50K,<=50K,0.6156310193679019,0.5764279887175523,0.6548340500182515
11839,27,Private,207418,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,<=50K,<=50K,0.8054496321939608,0.7698074723270621,0.8410917920608595
1450,28,Private,339372,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,1408,40,United-States,<=50K,<=50K,0.7850552952329625,0.7426113357730098,0.8274992546929152
5445,55,Private,325007,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,25,United-States,<=50K,<=50K,0.48012975976102673,0.44526691469390345,0.51499260482815
14315,30,Private,381153,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5720958602539727,0.5328832565535712,0.6113084639543743
22633,19,Private,106273,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,38,United-States,<=50K,<=50K,0.8721921623509697,0.8376194482764188,0.9067648764255207
21022,48,Private,149640,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K,<=50K,0.6087175116344254,0.5736446020698316,0.6437904211990193
16472,24,Private,225515,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,<=50K,0.8037175129898929,0.7653909859291508,0.842044040050635
12289,50,Local-gov,30682,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,>50K,0.707349931699002,0.6847640410930311,0.7299358223049728
17259,23,Private,413345,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,60,United-States,<=50K,<=50K,0.8065089745270387,0.7717041551479294,0.841313793906148
7224,55,Private,198385,7th-8th,4,Widowed,Other-service,Unmarried,White,Female,0,0,20,,<=50K,<=50K,0.8689964884534195,0.833727352344682,0.904265624562157
13462,20,Private,140001,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K,<=50K,0.8829439102931985,0.8465517701174728,0.9193360504689242
26718,58,Private,170108,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,>50K,0.724875346195048,0.7024855518231776,0.7472651405669184
8115,26,Private,159897,Some-college,10,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K,<=50K,0.8708063325011173,0.8365283877804546,0.90508427722178
7433,36,Private,160120,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K,<=50K,0.6268204443332077,0.5908007756751915,0.6628401129912239
5937,49,Federal-gov,168232,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.5104044423351386,0.4737792319936244,0.5470296526766528
692,30,Private,167309,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1902,40,United-States,>50K,>50K,0.6220762918614281,0.5946077078013126,0.6495448759215436
533,62,Private,81116,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,1974,40,United-States,<=50K,<=50K,0.7390608949109625,0.7042152116421874,0.7739065781797376
2379,55,Private,197422,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,40,United-States,>50K,>50K,0.5735960233488342,0.5362278875939079,0.6109641591037605
613,52,Private,143953,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,>50K,>50K,0.7207902779067485,0.699517391616129,0.7420631641973681
30652,26,Private,187248,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,0,0,40,United-States,<=50K,<=50K,0.6817131782820662,0.6463675904326233,0.7170587661315092
11615,35,Self-emp-not-inc,381931,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States,<=50K,<=50K,0.6220920317686882,0.5854903225842094,0.658693740953167
8441,22,Private,162869,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,0,65,United-States,<=50K,<=50K,0.8247080392418756,0.7890200527263805,0.8603960257573707
14893,25,Private,324372,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,40,United-States,<=50K,<=50K,0.874651562059881,0.8381404608533322,0.9111626632664299
22671,40,Private,107306,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,>50K,0.6708724370874848,0.6459972187234941,0.6957476554514754
322,34,Private,174789,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,2001,40,United-States,<=50K,<=50K,0.7024682086921841,0.6617838903256741,0.7431525270586941
28294,68,Private,161744,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,16,United-States,<=50K,<=50K,0.6264065797204935,0.5896424698253404,0.6631706896156466
26997,36,Private,195385,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,<=50K,0.615467257410858,0.5782218663901659,0.65271264843155
12430,64,Private,66634,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.6403453831734596,0.6062456763554125,0.6744450899915067
2414,39,Private,183898,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,60,Germany,>50K,>50K,0.6732795852225203,0.6411104345237781,0.7054487359212624
9362,32,Private,227669,Some-college,10,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States,<=50K,<=50K,0.8754616335422122,0.8397613075850455,0.9111619594993788
31414,27,Private,69132,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,37,United-States,<=50K,<=50K,0.7637212768350288,0.719282260886371,0.8081602927836865
19307,50,Local-gov,172175,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,>50K,0.7757423775808067,0.7558062499982436,0.7956785051633697
28896,46,Private,695411,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,44,United-States,<=50K,<=50K,0.7846331043201821,0.7400716604836818,0.8291945481566824
32221,43,Private,133584,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,<=50K,0.5910425796750592,0.5594016387564829,0.6226835205936356
9810,49,Federal-gov,311671,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.44964126963592443,0.4204111814661973,0.47887135780565154
12616,33,Private,276221,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,>50K,0.7308076171318153,0.7119679375810292,0.7496472966826014
24396,37,Self-emp-not-inc,204501,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,Canada,>50K,<=50K,0.5044643826587863,0.4722634069065172,0.5366653584110554
11807,62,Private,135480,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,16,United-States,<=50K,<=50K,0.6245020520797463,0.5897741830388429,0.6592299211206497
11392,37,State-gov,103474,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,<=50K,<=50K,0.8666439117570424,0.8314291874116191,0.9018586361024656
12265,26,Private,302603,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,45,United-States,<=50K,<=50K,0.8816290916201251,0.8450186398784358,0.9182395433618145
12132,37,Private,108913,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,<=50K,0.8198054772800033,0.7774421319586874,0.8621688226013192
12083,46,Local-gov,141058,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,<=50K,<=50K,0.4695880981309162,0.44050106450212323,0.4986751317597091
24949,67,Local-gov,181220,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,20,United-States,<=50K,<=50K,0.826052728591113,0.7862228821262308,0.8658825750559952
14200,44,Self-emp-not-inc,37618,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K,<=50K,0.620951124617004,0.5836096518117617,0.6582925974222462
22854,42,Federal-gov,294431,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,>50K,0.7060871090459108,0.6812297784185306,0.7309444396732909
26929,59,Private,167963,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K,<=50K,0.8095631704590172,0.7713260806372886,0.8478002602807457
9520,20,Private,105312,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,18,United-States,<=50K,<=50K,0.8639390987235012,0.8285738862160502,0.8993043112309521
27444,59,Self-emp-not-inc,119344,10th,6,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,36,United-States,<=50K,<=50K,0.5823788713489987,0.5543407937283349,0.6104169489696625
