,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Prediction,Pred. Prob.,CI Low,CI High
489,26,male,2,rent,little,,3518,6,car,good,good,0.7543738727072412,0.7440135248591027,0.7647342205553798
513,20,male,2,rent,little,moderate,585,12,radio/TV,good,good,0.5859735663736934,0.5765733295446694,0.5953738032027173
780,25,male,2,own,little,moderate,4933,39,radio/TV,bad,good,0.5709841712794292,0.5601551012456433,0.5818132413132152
904,36,male,3,own,little,,1278,24,radio/TV,good,good,0.8436506192281716,0.8390825146315343,0.848218723824809
122,24,male,1,rent,little,,1768,12,furniture/equipment,good,good,0.7411715084533106,0.7308101646538627,0.7515328522527585
946,30,male,2,free,quite rich,little,3349,24,furniture/equipment,bad,good,0.6443517843643485,0.6371431146835435,0.6515604540451535
60,27,male,2,own,little,moderate,1391,9,business,good,good,0.7143317103740017,0.7046755468284028,0.7239878739196005
844,47,male,2,own,little,,3422,18,furniture/equipment,good,good,0.8518143258426799,0.8462644260748058,0.857364225610554
372,23,female,2,rent,little,,2146,10,furniture/equipment,good,good,0.7330303430614277,0.722222555500005,0.7438381306228503
283,63,male,2,own,,,1520,15,furniture/equipment,good,good,0.9075072480312901,0.9015602842354512,0.913454211827129
939,46,male,3,own,,,6842,24,car,good,good,0.8586937454825919,0.85343093917456,0.8639565517906238
608,33,male,2,own,little,,2051,18,radio/TV,good,good,0.869862110907129,0.8638806302937135,0.8758435915205444
495,20,male,2,own,,little,2996,24,furniture/equipment,bad,good,0.6588362664143991,0.6513772334018475,0.6662952994269506
630,28,female,2,own,little,little,3660,24,radio/TV,good,good,0.5356884623540289,0.5275152519885057,0.5438616727195521
596,23,female,2,rent,little,little,1442,24,car,bad,bad,0.5756200136894795,0.5664637395731027,0.5847762878058562
713,25,male,1,own,little,little,1138,9,radio/TV,good,good,0.6145341027042044,0.6035248082465088,0.6255433971619
753,25,female,2,own,little,,5771,30,radio/TV,good,good,0.8066180207752821,0.7977215476262849,0.8155144939242793
624,65,male,2,free,little,little,2600,18,radio/TV,bad,good,0.5473344657360452,0.538016953737468,0.5566519777346223
312,26,female,2,own,little,rich,3749,24,furniture/equipment,good,good,0.7163651718713225,0.7116628105282444,0.7210675332144006
8,61,male,1,own,rich,,3059,12,radio/TV,good,good,0.8776095385017978,0.872691231319986,0.8825278456836095
529,41,male,1,own,little,little,662,6,car,good,good,0.5924538129568431,0.5795382414791679,0.6053693844345183
876,36,male,3,free,little,little,1940,18,radio/TV,good,good,0.5701305686888659,0.5631133539614604,0.5771477834162714
101,24,male,2,rent,little,moderate,2323,36,radio/TV,good,good,0.5258306335846717,0.5157880360123164,0.5358732311570271
615,48,male,3,own,,moderate,12204,48,business,good,good,0.5721042564966359,0.5639575468244878,0.5802509661687839
520,44,male,2,free,little,,5507,24,repairs,good,good,0.7302384270927504,0.7254540612604252,0.7350227929250757
249,22,female,2,rent,little,,433,18,radio/TV,bad,good,0.7558200167864686,0.7464267109755567,0.7652133225973805
278,32,female,2,own,little,,4611,6,furniture/equipment,bad,good,0.8482751468256801,0.8411069990609674,0.8554432945903927
424,25,female,2,own,,moderate,2762,12,furniture/equipment,bad,good,0.7881809417164845,0.7821412253165679,0.794220658116401
384,26,male,1,own,moderate,,4272,30,business,good,good,0.7606443818730619,0.7534969732811189,0.767791790465005
395,32,male,2,rent,moderate,moderate,11760,39,education,good,bad,0.5995325602554952,0.5897213801119778,0.6093437403990125
54,57,male,2,free,little,moderate,2225,36,car,bad,good,0.6095371923797115,0.60594277540743,0.613131609351993
34,33,female,3,own,little,rich,1474,12,furniture/equipment,good,good,0.7450711471309188,0.7394716981984608,0.7506705960633768
271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,good,good,0.8538532479696335,0.8515965940022562,0.8561099019370108
30,36,male,2,own,rich,moderate,1913,18,business,good,good,0.7155939648229345,0.7095596538999397,0.7216282757459292
403,27,male,1,own,little,,802,14,car,good,good,0.8341415395231109,0.8249249271534755,0.8433581518927462
757,39,male,2,free,,rich,1271,15,radio/TV,bad,good,0.8175175478452094,0.8133606450602707,0.821674450630148
975,57,female,1,own,quite rich,rich,1258,24,radio/TV,good,good,0.7543173215996529,0.7491549415699996,0.7594797016293062
990,37,male,1,own,,,3565,12,education,good,good,0.8991561648296377,0.8927028301930405,0.9056094994662348
457,35,male,2,free,little,little,3386,12,car,bad,good,0.5391562032781575,0.5292342492737224,0.5490781572825926
362,36,female,2,own,little,rich,2247,12,car,good,good,0.770619587945323,0.7647852603987639,0.7764539154918821
860,27,male,2,own,rich,,5804,24,car,good,good,0.8519479223521087,0.8469539875898385,0.8569418571143789
483,30,female,2,own,rich,,960,15,furniture/equipment,good,good,0.8744633143528435,0.8685410313439904,0.8803855973616966
580,30,male,2,own,little,moderate,1056,18,car,bad,good,0.666320754557283,0.6589419631942747,0.6736995459202914
986,33,male,2,own,little,rich,6289,42,business,good,good,0.6299157466819186,0.6187100943421887,0.6411213990216486
688,35,male,2,own,moderate,,2753,9,radio/TV,good,good,0.8567738499750033,0.8501686980474432,0.8633790019025633
864,25,male,1,rent,little,,2210,10,furniture/equipment,bad,good,0.7396451908149124,0.7289757277328537,0.7503146538969712
927,39,male,2,free,little,little,10297,48,car,bad,bad,0.6443707533544046,0.6394607095581581,0.6492807971506511
378,57,male,3,free,little,moderate,14318,36,car,bad,bad,0.6166401932882208,0.613043226374394,0.6202371602020477
320,28,male,3,own,little,moderate,4249,30,car,bad,good,0.6121395795822235,0.604165506938782,0.6201136522256651
942,31,male,2,own,,,929,24,furniture/equipment,good,good,0.9002242792614625,0.8952348193863181,0.905213739136607
351,29,female,2,own,little,moderate,959,9,furniture/equipment,bad,good,0.7126104888047939,0.7034143649337864,0.7218066126758015
418,31,female,3,own,quite rich,,2782,21,car,good,good,0.8738155707339554,0.869827248212921,0.8778038932549899
945,30,female,2,own,quite rich,moderate,8358,48,car,good,good,0.5972435120819924,0.5873635783561543,0.6071234458078306
795,22,female,2,rent,moderate,,2301,9,furniture/equipment,good,good,0.7332960936129089,0.7243878817469402,0.7422043054788776
145,30,male,2,own,moderate,moderate,3566,48,business,good,good,0.5823128147282888,0.5756772650328668,0.5889483644237108
826,33,female,2,rent,little,little,3966,18,car,bad,bad,0.5365361517357535,0.5259850503861155,0.5470872530853915
492,27,female,2,own,moderate,,1237,6,radio/TV,good,good,0.8445321476158313,0.8378500374658695,0.8512142577657931
751,23,female,1,own,little,little,976,18,car,bad,bad,0.47914238461318936,0.4686731934714965,0.48961157575488223
240,29,female,2,own,,little,915,24,car,bad,good,0.5860233679050438,0.5778823229307386,0.5941644128793491
648,38,male,2,free,little,rich,947,24,car,bad,good,0.7159966088978124,0.7118873838318636,0.7201058339637612
886,34,male,2,own,,moderate,2825,24,business,good,good,0.7798420043137289,0.7745389149983393,0.7851450936291184
144,23,female,2,own,little,,2288,21,furniture/equipment,good,good,0.7806737138984373,0.7700934863233944,0.7912539414734803
767,31,female,2,rent,,,2901,10,car,good,good,0.8854754929332143,0.8813249314909484,0.8896260543754801
999,27,male,2,own,moderate,moderate,4576,45,car,good,good,0.6020061378781102,0.5947448340814403,0.6092674416747801
467,32,male,2,own,,,7238,48,radio/TV,good,good,0.8689398340137982,0.8644925017402811,0.8733871662873152
315,31,male,2,own,little,little,2746,36,furniture/equipment,bad,bad,0.5234190495472631,0.518797955035262,0.5280401440592642
989,48,male,1,own,little,moderate,1743,24,radio/TV,good,good,0.6829808366696778,0.6777150991027235,0.688246574236632
922,22,female,2,rent,little,little,1366,9,radio/TV,bad,good,0.5529330760266707,0.5414795574520065,0.564386594601335
717,32,male,3,free,little,,1505,18,radio/TV,good,good,0.7975687618895547,0.7915305313938072,0.8036069923853022
458,27,female,2,own,little,little,343,6,domestic appliances,good,good,0.6138377531623884,0.6033340087574725,0.6243414975673044
773,52,male,2,own,moderate,,2223,24,radio/TV,good,good,0.852650818128619,0.8486508268350367,0.8566508094222013
204,38,male,1,own,little,,1495,12,car,good,good,0.8732495512467764,0.8687017646776046,0.8777973378159482
834,25,female,1,own,little,rich,2327,15,radio/TV,bad,good,0.7452161891804038,0.7379413996816386,0.7524909786791689
832,29,male,2,rent,little,little,11816,45,business,bad,bad,0.755866735948691,0.7518216814197017,0.7599117904776803
435,25,male,2,own,,moderate,1484,12,radio/TV,bad,good,0.796186731295061,0.7891747297473908,0.8031987328427312
5,35,male,1,free,,,9055,36,education,good,good,0.7666039809668408,0.7579430116954385,0.775264950238243
769,63,male,1,own,little,,1655,12,radio/TV,good,good,0.8865980112049258,0.8831679275241794,0.8900280948856721
679,26,female,2,own,little,,1453,18,radio/TV,good,good,0.8447382744819549,0.8357367849340124,0.8537397640298975
722,24,female,1,own,little,little,1228,12,car,bad,good,0.5706971195276199,0.5586858830727471,0.5827083559824927
215,39,female,1,own,,moderate,932,6,education,good,good,0.7919565593328433,0.7867536689283218,0.7971594497373647
653,42,male,3,own,moderate,moderate,8086,36,car,bad,good,0.6095727141515536,0.6008031947744698,0.6183422335286374
150,42,male,2,free,moderate,,1346,6,radio/TV,good,good,0.8083146448590369,0.8049673386681908,0.811661951049883
687,30,male,2,free,moderate,moderate,2862,36,car,good,good,0.5506734486231569,0.5456782814094687,0.5556686158368451
500,27,female,2,own,little,little,3123,24,car,bad,good,0.49838729637346707,0.4910014858028865,0.5057731069440476
332,24,female,3,own,moderate,moderate,7408,60,car,bad,good,0.545399990728212,0.5404788415895437,0.5503211398668802
979,25,male,2,rent,moderate,moderate,1264,15,car,bad,good,0.5933093938214109,0.5853395418929481,0.6012792457498737
817,24,female,2,rent,little,,1554,6,radio/TV,good,good,0.7780344735920667,0.7682010532930162,0.7878678938911171
620,27,male,2,own,little,moderate,3652,21,business,good,good,0.6456019445389651,0.6369771549531509,0.6542267341247794
814,46,male,2,free,little,little,3931,48,car,bad,bad,0.5721583105631218,0.5651337840827917,0.579182837043452
516,40,male,1,own,little,little,1361,6,car,good,good,0.6109462829731124,0.6005661483535859,0.6213264175926388
518,43,male,2,own,moderate,little,1203,6,car,good,good,0.659514730957096,0.6496139411506433,0.6694155207635487
940,45,male,3,own,,,3527,12,car,good,good,0.8985351374298157,0.8929102384873295,0.9041600363723019
113,25,female,2,own,little,,7855,36,car,bad,good,0.7388378482044906,0.7280665786466672,0.749609117762314
612,29,female,2,own,rich,little,3357,21,radio/TV,good,good,0.6457086773358838,0.6386559227679766,0.652761431903791
37,37,male,2,own,little,rich,2100,18,radio/TV,bad,good,0.7706031625085165,0.7649017984745214,0.7763045265425115
894,29,male,2,own,,,1169,18,radio/TV,good,good,0.9107979001598688,0.9053212740412167,0.916274526278521
895,31,male,3,own,,,8947,36,car,good,good,0.8345156188746443,0.8284152946018927,0.840615943147396
992,23,male,1,rent,,little,1936,18,radio/TV,good,good,0.6416272615983297,0.6339758056223979,0.6492787175742616
158,38,male,2,own,moderate,moderate,3512,24,car,good,good,0.68693747257004,0.6817988496443808,0.6920760954956993
154,36,male,3,rent,moderate,moderate,6967,24,business,good,good,0.5481687434239372,0.5389603458307294,0.557377141017145
40,30,male,3,own,quite rich,,2333,30,radio/TV,good,good,0.8458692510991694,0.8393807830701597,0.8523577191281791
585,20,female,2,rent,little,little,2039,18,furniture/equipment,bad,bad,0.5418917789845697,0.5313775996372957,0.5524059583318438
805,24,male,2,own,little,little,9271,36,car,bad,bad,0.6399994158149496,0.6330482786533292,0.6469505529765699
592,36,female,1,own,rich,,1572,21,business,good,good,0.8494185187664356,0.8455356144348957,0.8533014230979755
964,22,male,1,own,little,moderate,454,6,repairs,good,good,0.6789071254339859,0.671653089735626,0.6861611611323458
266,36,male,2,own,,,6304,36,business,good,good,0.8281114616063696,0.8223305944441834,0.8338923287685558
406,43,male,2,own,,,2197,24,car,good,good,0.9130687477886343,0.909892191630437,0.9162453039468317
294,46,male,3,own,,,7629,48,business,good,good,0.7950443154130598,0.790442593378163,0.7996460374479565
604,23,female,2,own,little,rich,1275,10,furniture/equipment,good,good,0.7511352847864861,0.744221475514621,0.7580490940583511
522,53,male,2,free,little,little,7119,48,furniture/equipment,bad,bad,0.6085969101881683,0.6024632267202304,0.6147305936561062
18,44,female,3,free,little,moderate,12579,24,car,bad,bad,0.5774835285570403,0.568630930468131,0.5863361266459497
425,21,male,2,rent,little,moderate,2779,18,car,good,good,0.5697573886742131,0.5610864894245571,0.5784282879238691
527,42,male,1,own,little,,1503,4,radio/TV,good,good,0.9057575923160619,0.9033772930590311,0.9081378915730927
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,bad,good,0.7012168663220109,0.6927963224186935,0.7096374102253282
622,38,male,2,own,,,3914,48,business,bad,good,0.8504325688983063,0.8451404686705826,0.8557246691260301
794,32,male,2,rent,quite rich,,3062,24,furniture/equipment,good,good,0.8106920677034348,0.8053441811928301,0.8160399542140395
62,61,male,3,free,little,moderate,1953,36,business,bad,good,0.5895630897853174,0.584186269806867,0.5949399097637676
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,good,good,0.5955741880968735,0.587392044671742,0.6037563315220049
680,56,female,2,own,little,,1538,6,education,good,good,0.886752875320944,0.8838690169315659,0.8896367337103221
193,29,male,2,rent,little,,2108,6,radio/TV,good,good,0.7969295740103003,0.7877596125589088,0.8060995354616918
750,49,female,2,own,little,little,428,6,furniture/equipment,good,good,0.6526363928412607,0.6411968645440648,0.6640759211384567
181,30,male,3,own,little,moderate,4455,36,business,bad,good,0.5824594148651417,0.5737989444075144,0.591119885322769
535,33,male,2,rent,little,rich,2319,21,education,bad,good,0.7218405265265727,0.7176915738808318,0.7259894791723136
484,44,male,2,own,quite rich,,1163,12,car,good,good,0.91226410232522,0.9092966310430508,0.9152315736073893
200,52,male,2,own,quite rich,,936,9,education,good,good,0.8931097573551218,0.8900758455646766,0.896143669145567
364,25,male,0,own,little,little,2473,18,furniture/equipment,bad,good,0.5467916636459744,0.5376943610507673,0.5558889662411816
991,34,male,1,own,moderate,,1569,15,radio/TV,good,good,0.8534618852120799,0.8478675418575418,0.859056228566618
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,good,good,0.6385901948531074,0.6323339190757715,0.6448464706304433
356,49,male,2,own,,,2331,12,radio/TV,good,good,0.9226597960880794,0.9169748702056127,0.928344721970546
2,49,male,1,own,little,,2096,12,education,good,good,0.8706637131591155,0.8660862220633252,0.8752412042549058
478,39,male,1,own,moderate,moderate,1037,12,business,good,good,0.6998983314293116,0.692906985378584,0.7068896774800392
695,50,male,2,rent,quite rich,,1236,6,car,good,good,0.8569310751905718,0.8543572463889553,0.8595049039921883
253,35,male,2,own,moderate,,4151,24,furniture/equipment,good,good,0.8302875055928162,0.8246761911198454,0.835898820065787
